,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
AIMP12,0.00028090793465464,0.114714275,0.392,0.393,1,COCH+ Fb,AIMP1
TTLL73,0.000281333534222444,0.12396872,0.132,0.114,1,COCH+ Fb,TTLL7
HIRIP31,0.000287384568642302,0.081689076,0.11,0.093,1,COCH+ Fb,HIRIP3
PTGES6,0.000287620722524937,0.049517924,0.262,0.238,1,COCH+ Fb,PTGES
TRMT10C3,0.000293320687473608,0.122047126,0.247,0.238,1,COCH+ Fb,TRMT10C
CASC34,0.000297530089476497,0.146801042,0.229,0.217,1,COCH+ Fb,CASC3
HS6ST14,0.000307143829196476,0.101578835,0.166,0.149,1,COCH+ Fb,HS6ST1
ZNF8004,0.00030879019315668,0.124854192,0.217,0.205,1,COCH+ Fb,ZNF800
SUCLA23,0.000310776413334845,0.109583029,0.242,0.23,1,COCH+ Fb,SUCLA2
SPTLC23,0.000311749827235354,0.04481091,0.126,0.161,1,COCH+ Fb,SPTLC2
ELOA4,0.000312082218411397,0.025642042,0.163,0.205,1,COCH+ Fb,ELOA
ZNF7211,0.000312507756906154,0.12228061,0.176,0.159,1,COCH+ Fb,ZNF721
WDR823,0.00031280350227298,0.154317181,0.319,0.321,1,COCH+ Fb,WDR82
SPPL2A4,0.00031364149918492,0.106982973,0.432,0.438,1,COCH+ Fb,SPPL2A
OXR13,0.00031700183699235,0.135143586,0.308,0.305,1,COCH+ Fb,OXR1
MTSS12,0.000319015576083794,0.096732101,0.115,0.098,1,COCH+ Fb,MTSS1
KMT2B3,0.000320164327364027,0.018352243,0.102,0.132,1,COCH+ Fb,KMT2B
PI4KB4,0.000321805852505142,0.01013271,0.174,0.216,1,COCH+ Fb,PI4KB
SLC35E2B3,0.000323775486256624,0.086870631,0.129,0.112,1,COCH+ Fb,SLC35E2B
XPO12,0.000323871431408076,0.173403557,0.327,0.328,1,COCH+ Fb,XPO1
SAP303,0.000324974485546175,0.075980188,0.166,0.148,1,COCH+ Fb,SAP30
NRDE23,0.000326284998151557,0.110689119,0.132,0.115,1,COCH+ Fb,NRDE2
TMEM1681,0.000330402375788885,0.118599581,0.147,0.13,1,COCH+ Fb,TMEM168
SPIN12,0.000331757593780296,0.154522197,0.319,0.316,1,COCH+ Fb,SPIN1
PTEN3,0.000332714908041797,0.081477425,0.423,0.424,1,COCH+ Fb,PTEN
ACAP23,0.000333030994068126,0.129410546,0.373,0.374,1,COCH+ Fb,ACAP2
TMEM1732,0.000333978962841806,0.103945766,0.238,0.22,1,COCH+ Fb,TMEM173
PDK23,0.000335752727083671,0.12156877,0.161,0.146,1,COCH+ Fb,PDK2
GMNN5,0.000343381728586969,0.096558209,0.13,0.112,1,COCH+ Fb,GMNN
TRIM334,0.000344219303855655,0.143927753,0.219,0.207,1,COCH+ Fb,TRIM33
ATP10D3,0.000346175988068812,0.024339132,0.126,0.16,1,COCH+ Fb,ATP10D
DDX3Y3,0.000347575976088955,0.075735217,0.238,0.218,1,COCH+ Fb,DDX3Y
CEP834,0.000353557971461416,0.126091502,0.141,0.125,1,COCH+ Fb,CEP83
C20orf1942,0.000353971430263718,0.013823315,0.08,0.104,1,COCH+ Fb,C20orf194
PSMC64,0.000355120678671919,0.103707153,0.369,0.371,1,COCH+ Fb,PSMC6
VPS37B2,0.000356493952719173,0.110683614,0.157,0.14,1,COCH+ Fb,VPS37B
PRMT92,0.000356918291934826,0.056765361,0.108,0.091,1,COCH+ Fb,PRMT9
GAB13,0.000357338146042747,0.084009911,0.168,0.149,1,COCH+ Fb,GAB1
YEATS22,0.000366228274474366,0.010039592,0.08,0.105,1,COCH+ Fb,YEATS2
FOXJ34,0.000370069836781973,0.161879816,0.196,0.183,1,COCH+ Fb,FOXJ3
RUFY31,0.000372810435295446,0.023522855,0.231,0.282,1,COCH+ Fb,RUFY3
SH3BP43,0.00037607184261878,0.011742737,0.097,0.124,1,COCH+ Fb,SH3BP4
AC020916.12,0.000376934078352563,0.093728502,0.227,0.208,1,COCH+ Fb,AC020916.1
NEDD44,0.000378551805663741,0.020857811,0.144,0.181,1,COCH+ Fb,NEDD4
CIC5,0.000382497232962051,0.125324009,0.181,0.167,1,COCH+ Fb,CIC
BRMS1L2,0.000388618944922199,0.10106915,0.127,0.11,1,COCH+ Fb,BRMS1L
AP2A22,0.000388938872700722,0.025183948,0.203,0.252,1,COCH+ Fb,AP2A2
SLC25A383,0.000388956530887785,0.085470186,0.121,0.105,1,COCH+ Fb,SLC25A38
RAI12,0.000392114443308212,0.107606684,0.124,0.108,1,COCH+ Fb,RAI1
UVSSA4,0.000393767428751298,0.080145897,0.116,0.098,1,COCH+ Fb,UVSSA
TMEM1923,0.000393993838158914,0.094217278,0.125,0.108,1,COCH+ Fb,TMEM192
ZC2HC1A3,0.000398523285756296,0.023885421,0.173,0.215,1,COCH+ Fb,ZC2HC1A
TIMM10B3,0.000402181872316062,0.024032353,0.116,0.147,1,COCH+ Fb,TIMM10B
ALDH3A24,0.000412066895978339,0.087102543,0.212,0.194,1,COCH+ Fb,ALDH3A2
PXK3,0.000416731959501844,0.101398902,0.253,0.242,1,COCH+ Fb,PXK
MAGI2-AS35,0.000422885670233832,0.10192554,0.147,0.187,1,COCH+ Fb,MAGI2-AS3
DCAF124,0.000425956435310529,0.014220486,0.099,0.127,1,COCH+ Fb,DCAF12
