genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SDF2,0.0124144026046287,-0.022065546,0.429,0.436,1
PIGP,0.0124651927246008,-0.086327643,0.269,0.299,1
SCFD1,0.0128319077426584,-0.069555565,0.372,0.412,1
UBE4B,0.012887416627483,0.0116015389209642,0.129,0.148,1
NCLN,0.0129678350545805,-0.035650336,0.253,0.288,1
ZNF280D,0.0130071780004204,0.0173317548279686,0.275,0.315,1
UBA52,0.0132622562899542,0.0579447358440333,0.969,0.908,1
PXMP4,0.0132688378357663,-0.010330403,0.089,0.103,1
ERBIN,0.0136304581448307,0.0401742605424596,0.357,0.367,1
GEMIN8,0.0137080340734437,0.0287573418195226,0.127,0.147,1
ZNF639,0.0137697532351074,-0.026935807,0.188,0.213,1
FAM210A,0.0138320131866331,0.0178480843952372,0.158,0.15,1
TBX3,0.0141024905638012,-0.012931794,0.101,0.116,1
PKNOX1,0.014141779823292,0.0315926592346389,0.185,0.178,1
NAA16,0.0141958306972292,0.0378555890316967,0.101,0.093,1
SQLE,0.0143997112354539,-0.062513631,0.247,0.277,1
BID,0.0144722990987643,-0.05504608,0.185,0.209,1
STX6,0.0144739509384903,-0.012339656,0.128,0.146,1
ARNT,0.0145094466309742,-0.022481457,0.192,0.218,1
UBA5,0.0147407903797746,-0.054784919,0.247,0.278,1
CAMK2G,0.0147570565680157,0.0672505969341789,0.198,0.194,1
C2orf74,0.0149113419347512,-0.035306424,0.183,0.175,1
ATXN1L,0.0149340098089572,0.0434881143881385,0.123,0.115,1
TMEM14C,0.0149439015026876,-0.198344914,0.695,0.682,1
SRP9,0.0150968072656225,-0.09918933,0.651,0.625,1
SMIM19,0.015138717368838,-0.013080627,0.377,0.385,1
DDOST,0.0152582389072805,-0.154804033,0.558,0.575,1
AZIN1,0.0153652444745123,-0.047160015,0.306,0.343,1
AMPD2,0.0153696754335572,-0.030337027,0.207,0.232,1
ROMO1,0.0153930381576449,-0.269386159,0.613,0.623,1
CHMP1B,0.0156910273355539,-0.039004852,0.295,0.291,1
SLC35A3,0.0157773838897381,-0.021110852,0.155,0.175,1
SLC6A8,0.0158070546278573,0.0251618068775133,0.13,0.15,1
TMA7,0.0159807042536323,-0.040054121,0.898,0.828,1
ATF2,0.0162819305406279,0.0699702804320305,0.223,0.223,1
C18orf21,0.016384193414618,0.0262140147981546,0.146,0.138,1
CHAMP1,0.0165014791759871,0.0202636560760951,0.14,0.131,1
TMEM41B,0.016780632339722,-0.019065342,0.173,0.195,1
TNKS,0.0168470245840958,0.0429997892518732,0.176,0.169,1
DYNLL1,0.0171113507479709,-0.081832778,0.917,0.879,1
KMT2C,0.0171306257544086,0.0591841092884983,0.345,0.355,1
UROS,0.0173091338752369,-0.093614168,0.406,0.45,1
SMC4,0.0174340123664375,0.0495057950286729,0.291,0.293,1
TAF13,0.0176712825217555,-0.03852847,0.276,0.312,1
ZNF622,0.0177308730923954,-0.036519628,0.228,0.254,1
G6PC3,0.0177536023829113,0.0169322148948887,0.244,0.278,1
ZDHHC18,0.0178656231016773,0.0159198398024425,0.128,0.119,1
TIMM17A,0.0179206773220696,-0.054312307,0.401,0.411,1
HCFC2,0.0180482788627305,0.025762634228537,0.193,0.187,1
COX6C,0.018142177280707,-0.186260437,0.9,0.856,1
ATP11A,0.0181604995203893,0.0398274690107305,0.112,0.104,1
PPP2R5D,0.0183045830775748,0.0227690024987305,0.128,0.119,1
GMPPB,0.0183211597676652,-0.03064239,0.219,0.247,1
TMEM33,0.0183509043964504,0.0395829054560599,0.217,0.214,1
TTC33,0.0184140585268208,0.0141669169312501,0.11,0.127,1
CDADC1,0.0185869423786899,0.0143184012258048,0.115,0.106,1
MRPL17,0.0189651505076303,-0.111467617,0.411,0.454,1
INO80D,0.0193357006202667,0.0202372677916878,0.187,0.18,1
ACTR2,0.0196056874151844,-0.072401523,0.671,0.635,1
CPQ,0.0197383081332432,-0.073632652,0.556,0.557,1
CASP7,0.0199210888647067,-0.02486469,0.226,0.254,1
GOLGB1,0.019966046773787,-0.010396645,0.565,0.553,1
RNF4,0.0201316854208451,0.0497088008150164,0.208,0.204,1
THAP12,0.0202200617816874,-0.063444366,0.251,0.281,1
ZBTB22,0.0203925284869194,0.0533654671410622,0.101,0.094,1
SMARCA1,0.0207375575207124,-0.061594806,0.392,0.435,1
SYNCRIP,0.0207817525553076,-0.054696405,0.557,0.555,1
HEXIM1,0.0207974787117257,0.0161045470973981,0.259,0.257,1
TOLLIP,0.0210653511629955,0.0314608413418933,0.245,0.244,1
EGR3,0.0213532417014342,-0.124878176,0.1,0.111,1
