,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Zfp5931,2.52704778507709e-17,0.0263965689013616,0.173,0.114,5.03413189265207e-13,Fibroblast,Zfp593
Plcb32,2.63173790422485e-17,0.0104957812176735,0.139,0.087,5.24268507900632e-13,Fibroblast,Plcb3
Zfp6721,2.84378368838156e-17,0.0130384050781067,0.115,0.068,5.66510148562491e-13,Fibroblast,Zfp672
Mrps93,2.88556886829122e-17,0.0112297025911327,0.2,0.133,5.74834174252294e-13,Fibroblast,Mrps9
Cdk81,2.91385065313649e-17,0.0224924200063741,0.217,0.147,5.80468188611321e-13,Fibroblast,Cdk8
Tsfm2,2.97789983759134e-17,0.0213424214479939,0.149,0.095,5.93227426646571e-13,Fibroblast,Tsfm
Dvl12,3.03085918440024e-17,0.0104224871430564,0.158,0.101,6.03777458124372e-13,Fibroblast,Dvl1
Map2k52,3.20485480336364e-17,0.0130766549834533,0.119,0.072,6.38439125378071e-13,Fibroblast,Map2k5
Morf4l12,3.64244683920457e-17,0.0972851687654814,0.842,0.721,7.25611834837942e-13,Fibroblast,Morf4l1
Rhno11,4.38718145793938e-17,0.0189483453498368,0.11,0.066,8.73970418236103e-13,Fibroblast,Rhno1
Tspyl22,4.43722571500392e-17,0.0102280194340273,0.157,0.1,8.83939734685931e-13,Fibroblast,Tspyl2
Gm102602,4.90373597696032e-17,0.104769947773032,0.165,0.11,9.76873243970266e-13,Fibroblast,Gm10260
Pqbp12,4.92328653416942e-17,0.0119854533712364,0.245,0.17,9.80767910471891e-13,Fibroblast,Pqbp1
Cul21,6.01220373215092e-17,0.0102668972155958,0.158,0.102,1.19769110548178e-12,Fibroblast,Cul2
